Data,Descrição,Valor
2024-07-01,Supermercado Extra,-200.45
2024-07-01,Spotify,-19.90
2024-07-02,Uber Corrida Aeroporto,-55.00
2024-07-02,Posto Shell Gasolina,-150.00
2024-07-03,McDonald's,-35.70
2024-07-03,Amazon Compra Kindle,-299.00
2024-07-04,Assinatura HBO Max,-34.90
2024-07-05,Droga Raia Remédio,-87.90
2024-07-06,Consultório Odontológico,-450.00
2024-07-07,Almoço Restaurante Família,-120.00
2024-07-07,Cinemark Ingresso,-38.00
2024-07-08,Ifood Pizza,-64.99
2024-07-08,Zara Camisa,-139.90
2024-07-09,Livraria Cultura,-89.00
2024-07-10,Estacionamento Shopping,-25.00
2024-07-11,Netflix,-39.90
2024-07-11,Spotify,-19.90
2024-07-12,Assaí Atacadista,-390.70
2024-07-13,Uber Corrida Casa-Amigo,-32.00
2024-07-14,Apple Store Compra App,-10.90
2024-07-14,Academia Smart Fit Mensalidade,-99.90
2024-07-15,Droga SP Compra,-60.00
2024-07-16,Rappi Mercado,-120.00
2024-07-16,Lan House Impressões,-8.50
2024-07-17,Reserva Camiseta,-159.90
